symbol,isin,company_name,category,label_source,reasoning
20MICRONS,INE144J01027,20 Microns Limited,Owner,machine_inferred,
21STCENMGM,INE253B01015,21st Century Management Services Limited,Owner,machine_inferred,
360ONE,INE466L01038,360 ONE WAM LTD,Owner,rev1_ai_judge,
3PLAND,INE105C01023,3P Land Holdings Limited,Owner,machine_inferred,
5PAISA,INE618L01018,5Paisa Capital Limited,Owner,machine_inferred,
A2ZINFRA,INE619I01012,A2Z Infra Engineering Limited,Owner,machine_inferred,
AAATECH,INE0D0U01013,AAA Technologies Limited,Owner,machine_inferred,
AAKASH,INE087Z01024,Aakash Exploration Services Limited,Owner,machine_inferred,
AARTIDRUGS,INE767A01016,AARTI DRUGS LTD,Owner,rev1_ai_judge,
AARTIIND,INE769A01020,AARTI INDUSTRIES LIMITED,Owner,rev1_ai_judge,
AARTIPHARM,INE0LRU01027,Aarti Pharmalabs Limited,Owner,machine_inferred,
ABDL,INE552Z01027,Allied Blenders and Distillers Limited,Owner,machine_inferred,
ACC,INE012A01025,ACC LTD,Owner,rev1_ai_judge,
ACE,INE731H01025,ACTION CONSTRUCTION EQUIPMEN,Owner,rev1_ai_judge,
ACI,INE128X01021,ARCHEAN CHEMICAL INDUSTRIES,Owner,rev1_ai_judge,
ACMESOLAR,INE622W01025,Acme Solar Holdings Limited,Owner,machine_inferred,
ACUTAAS,INE00FF01025,ACUTAAS CHEMICALS LTD,Owner,rev1_ai_judge,
ADVENZYMES,INE837H01020,Advanced Enzyme Technologies Limited,Owner,ai_judge_z5,Rathi/Kabra ファミリーが創業者。Vasant Rathi が Chairman、Mukund Kabra が Whole-Time Director、C.L. Rathi が MD&CEO。Rasika Rathi も Promoter Non-Executive Director。家族が取締役会と経営の双方を支配する典型的 owner-led。
AEQUS,INE947N01017,Aequs Limited,Owner,machine_inferred,
AETHER,INE0BWX01014,AETHER INDUSTRIES LTD,Owner,rev1_ai_judge,
AFCONS,INE101I01011,Afcons Infrastructure Limited,Owner,machine_inferred,
AFFLE,INE00WC01027,AFFLE 3I LTD,Owner,rev1_ai_judge,
AGARWALEYE,INE943P01029,Dr. Agarwal's Health Care Limited,Owner,machine_inferred,
AGI,INE415A01038,AGI GREENPAC LTD,Owner,rev1_ai_judge,
AHLUCONT,INE758C01029,Ahluwalia Contracts (India) Limited,Owner,machine_inferred,
AIAENG,INE212H01026,AIA ENGINEERING LTD,Owner,rev1_ai_judge,
AIIL,INE206F01022,Authum Investment & Infrastructure Limited,Owner,machine_inferred,
AJANTPHARM,INE031B01049,AJANTA PHARMA LTD,Owner,rev1_ai_judge,
AKUMS,INE09XN01023,Akums Drugs and Pharmaceuticals Limited,Owner,machine_inferred,
ALKEM,INE540L01014,ALKEM LABORATORIES LTD,Owner,rev1_ai_judge,
ALKYLAMINE,INE150B01039,Alkyl Amines Chemicals Limited,Owner,machine_inferred,
AMBER,INE371P01015,AMBER ENTERPRISES INDIA LTD,Owner,rev1_ai_judge,
ANANDRATHI,INE463V01026,ANAND RATHI WEALTH LTD,Owner,rev1_ai_judge,
ANANTRAJ,INE242C01024,ANANT RAJ LTD,Owner,rev1_ai_judge,
ANGELONE,INE732I01021,ANGEL ONE LTD,Owner,rev1_ai_judge,
ANTHEM,INE0CZ201020,Anthem Biosciences Limited,Owner,machine_inferred,
ANUP,INE294Z01018,The Anup Engineering Limited,Owner,machine_inferred,
ANURAS,INE930P01018,ANUPAM RASAYAN INDIA LTD,Owner,rev1_ai_judge,
APARINDS,INE372A01015,APAR INDUSTRIES LTD,Owner,rev1_ai_judge,
APLAPOLLO,INE702C01027,APL APOLLO TUBES LTD,Owner,rev1_ai_judge,
APLLTD,INE901L01018,Alembic Pharmaceuticals Limited,Owner,ai_judge_z5,Amin ファミリー支配。Chirayu Amin が Chairman&CEO（2026年4月から Executive Chairman に昇格）、息子 Pranav Amin と Shaunak Amin が共同 MD。Promoter 69.74% で 3 世代に渡る家族経営。
APOLLO,INE713T01028,Apollo Micro Systems Limited,Owner,machine_inferred,
APOLLOHOSP,INE437A01024,APOLLO HOSPITALS ENTERPRISE,Owner,rev1_ai_judge,
APOLLOPIPE,INE126J01016,APOLLO PIPES LTD,Owner,rev1_ai_judge,
APOLLOTYRE,INE438A01022,APOLLO TYRES LTD,Owner,rev1_ai_judge,
APTUS,INE852O01025,APTUS VALUE HOUSING FINANCE,Owner,rev1_ai_judge,
ARE&M,INE885A01032,AMARA RAJA ENERGY & MOBILITY,Owner,rev1_ai_judge,
ARVIND,INE034A01011,ARVIND LTD,Owner,rev1_ai_judge,
ARVINDFASN,INE955V01021,Arvind Fashions Limited,Owner,machine_inferred,
ASHAPURMIN,INE348A01023,ASHAPURA MINECHEM LTD,Owner,rev1_ai_judge,
ASHOKA,INE442H01029,ASHOKA BUILDCON LTD,Owner,rev1_ai_judge,
ASIANPAINT,INE021A01026,ASIAN PAINTS LTD,Owner,rev1_ai_judge,
ASKAUTOLTD,INE491J01022,ASK Automotive Limited,Owner,machine_inferred,
ASTERDM,INE914M01019,ASTER DM HEALTHCARE LTD,Owner,rev1_ai_judge,
ASTRAL,INE006I01046,ASTRAL LTD,Owner,rev1_ai_judge,
ASTRAMICRO,INE386C01029,ASTRA MICROWAVE PRODUCTS LTD,Owner,rev1_ai_judge,
ATHERENERG,INE0LEZ01016,Ather Energy Limited,Owner,machine_inferred,
ATLANTAELE,INE0Z4F01028,Atlanta Electricals Limited,Owner,machine_inferred,
ATUL,INE100A01010,ATUL LTD,Owner,rev1_ai_judge,
AUBANK,INE949L01017,AU SMALL FINANCE BANK LTD,Owner,rev1_ai_judge,
AURIONPRO,INE132H01018,Aurionpro Solutions Limited,Owner,machine_inferred,
AUROPHARMA,INE406A01037,AUROBINDO PHARMA LTD,Owner,rev1_ai_judge,
AVALON,INE0LCL01028,AVALON TECHNOLOGIES LTD,Owner,rev1_ai_judge,
AVANTIFEED,INE871C01038,AVANTI FEEDS LTD,Owner,rev1_ai_judge,
AVL,INE679V01027,ADITYA VISION LTD,Owner,rev1_ai_judge,
AWFIS,INE108V01019,Awfis Space Solutions Limited,Owner,machine_inferred,
AZAD,INE02IJ01035,Azad Engineering Limited,Owner,machine_inferred,
BALAMINES,INE050E01027,Balaji Amines Limited,Owner,machine_inferred,
BALKRISIND,INE787D01026,BALKRISHNA INDUSTRIES LTD,Owner,rev1_ai_judge,
BALRAMCHIN,INE119A01028,BALRAMPUR CHINI MILLS LTD,Owner,rev1_ai_judge,
BALUFORGE,INE011E01029,Balu Forge Industries Limited,Owner,machine_inferred,
BANCOINDIA,INE213C01025,Banco Products (I) Limited,Owner,ai_judge_z5,Patel ファミリー支配。Mehul K. Patel が Promoter Non-Executive Chairman、兄弟の Samir K. Patel と Vimal K. Patel も promoter。第2-3世代の Kanubhai Patel 家族経営、promoter 67.88% の典型的 owner-led。
BCG,INE425B01027,BRIGHTCOM GROUP LTD,Owner,rev1_ai_judge,
BECTORFOOD,INE495P01020,Mrs. Bectors Food Specialities Limited,Owner,machine_inferred,
BELRISE,INE894V01022,Belrise Industries Limited,Owner,machine_inferred,
BERGEPAINT,INE463A01038,BERGER PAINTS INDIA LTD,Owner,rev1_ai_judge,
BHARATFORG,INE465A01025,BHARAT FORGE LTD,Owner,rev1_ai_judge,
BIKAJI,INE00E101023,BIKAJI FOODS INTERNATIONAL L,Owner,rev1_ai_judge,
BIOCON,INE376G01013,BIOCON LTD,Owner,rev1_ai_judge,
BIRLACORPN,INE340A01012,BIRLA CORP LTD,Owner,rev1_ai_judge,
BLACKBUCK,INE0UIZ01018,BLACKBUCK LIMITED,Owner,machine_inferred,
BLS,INE153T01027,BLS INTERNATIONAL LTD,Owner,rev1_ai_judge,
BLUEJET,INE0KBH01020,Blue Jet Healthcare Limited,Owner,machine_inferred,
BLUESTARCO,INE472A01039,BLUE STAR LTD,Owner,rev1_ai_judge,
BLUESTONE,INE304W01038,BlueStone Jewellery and Lifestyle Limited,Owner,machine_inferred,
BORORENEW,INE666D01022,BOROSIL RENEWABLES LTD,Owner,rev1_ai_judge,
BRIGADE,INE791I01019,Brigade Enterprises Limited,Owner,machine_inferred,
CAMLINFINE,INE052I01032,CAMLIN FINE SCIENCES LTD,Owner,rev1_ai_judge,
CAMPUS,INE278Y01022,CAMPUS ACTIVEWEAR LTD,Owner,rev1_ai_judge,
CAPILLARY,INE0ILV01024,Capillary Technologies India Limited,Owner,ai_judge_z5,Aneesh Reddy Boddu が共同創業者で MD&Vice Chairman 兼 CEO として現役経営。Warburg Pincus・Peak XV (Sequoia) などの PE/VC 投資（foreign 49.94%）も大きいが、創業者が経営を継続。owner-led + VC-backed のハイブリッドだが創業者主導性が強いため Owner と判定。
CAPLIPOINT,INE475E01026,Caplin Point Laboratories Limited,Owner,machine_inferred,
CARBORUNIV,INE120A01034,CARBORUNDUM UNIVERSAL LTD,Owner,rev1_ai_judge,
CCAVENUE,INE483S01020,AVENUESAI LTD,Owner,rev1_ai_judge,
CCL,INE421D01022,CCL PRODUCTS INDIA LTD,Owner,rev1_ai_judge,
CEATLTD,INE482A01020,CEAT LTD,Owner,rev1_ai_judge,
CELLO,INE0LMW01024,Cello World Limited,Owner,machine_inferred,
CENTURYPLY,INE348B01021,CENTURY PLYBOARDS INDIA LTD,Owner,rev1_ai_judge,
CERA,INE739E01017,CERA SANITARYWARE LTD,Owner,rev1_ai_judge,
CGCL,INE180C01042,CAPRI GLOBAL CAPITAL LTD,Owner,rev1_ai_judge,
CGPOWER,INE067A01029,CG POWER AND INDUSTRIAL SOLU,Owner,rev1_ai_judge,
CHALET,INE427F01016,CHALET HOTELS LTD,Owner,rev1_ai_judge,
CHAMBLFERT,INE085A01013,CHAMBAL FERTILISERS & CHEM,Owner,rev1_ai_judge,
CHEMPLASTS,INE488A01050,CHEMPLAST SANMAR LTD,Owner,rev1_ai_judge,
CHOICEIN,INE102B01014,CHOICE INTERNATIONAL LTD,Owner,rev1_ai_judge,
CHOLAFIN,INE121A01024,CHOLAMANDALAM INVESTMENT AND,Owner,rev1_ai_judge,
CHOLAHLDNG,INE149A01033,CHOLAMANDALAM FINANCIAL HOLD,Owner,rev1_ai_judge,
CIPLA,INE059A01026,CIPLA LTD,Owner,rev1_ai_judge,
CLEAN,INE227W01023,CLEAN SCIENCE & TECHNOLOGY L,Owner,rev1_ai_judge,
CONCORDBIO,INE338H01029,CONCORD BIOTECH LTD,Owner,rev1_ai_judge,
COROMANDEL,INE169A01031,COROMANDEL INTERNATIONAL LTD,Owner,rev1_ai_judge,
CORONA,INE02ZQ01018,CORONA Remedies Limited,Owner,machine_inferred,
CPPLUS,INE819V01029,Aditya Infotech Limited,Owner,machine_inferred,
CRAFTSMAN,INE00LO01017,CRAFTSMAN AUTOMATION LTD,Owner,rev1_ai_judge,
CRIZAC,INE0S4R01014,Crizac Limited,Owner,machine_inferred,
CUPID,INE509F01029,Cupid Limited,Owner,machine_inferred,
CYIENT,INE136B01020,CYIENT LTD,Owner,rev1_ai_judge,
DABUR,INE016A01026,DABUR INDIA LTD,Owner,rev1_ai_judge,
DALBHARAT,INE00R701025,DALMIA BHARAT LTD,Owner,rev1_ai_judge,
DALMIASUG,INE495A01022,DALMIA BHARAT SUGAR & INDUST,Owner,rev1_ai_judge,
DATAMATICS,INE365B01017,Datamatics Global Services Limited,Owner,machine_inferred,
DATAPATTNS,INE0IX101010,DATA PATTERNS INDIA LTD,Owner,rev1_ai_judge,
DBL,INE917M01012,DILIP BUILDCON LTD,Owner,rev1_ai_judge,
DBREALTY,INE879I01012,VALOR ESTATE LTD,Owner,rev1_ai_judge,
DCAL,INE385W01011,DISHMAN CARBOGEN AMCIS LTD,Owner,rev1_ai_judge,
DCMSHRIRAM,INE499A01024,DCM SHRIRAM LTD,Owner,rev1_ai_judge,
DCXINDIA,INE0KL801015,DCX SYSTEMS LTD,Owner,rev1_ai_judge,
DEEPAKFERT,INE501A01019,DEEPAK FERTILISERS & PETRO,Owner,rev1_ai_judge,
DEEPAKNTR,INE288B01029,DEEPAK NITRITE LTD,Owner,rev1_ai_judge,
DELTACORP,INE124G01033,DELTA CORP LTD,Owner,rev1_ai_judge,
DIACABS,INE989C01038,Diamond Power Infrastructure Limited,Owner,machine_inferred,
DISHTV,INE836F01026,DISH TV INDIA LTD,Owner,rev1_ai_judge,
DIVISLAB,INE361B01024,DIVI'S LABORATORIES LTD,Owner,rev1_ai_judge,
DIXON,INE935N01020,DIXON TECHNOLOGIES INDIA LTD,Owner,rev1_ai_judge,
DLF,INE271C01023,DLF LTD,Owner,rev1_ai_judge,
DMART,INE192R01011,AVENUE SUPERMARTS LTD,Owner,rev1_ai_judge,
DODLA,INE021O01019,DODLA DAIRY LTD,Owner,rev1_ai_judge,
DOMS,INE321T01012,DOMS Industries Limited,Owner,machine_inferred,
DREAMFOLKS,INE0JS101016,DREAMFOLKS SERVICES LTD,Owner,rev1_ai_judge,
DRREDDY,INE089A01031,DR. REDDY'S LABORATORIES,Owner,rev1_ai_judge,
DYNAMATECH,INE221B01012,Dynamatic Technologies Limited,Owner,machine_inferred,
EASEMYTRIP,INE07O001026,EASY TRIP PLANNERS LTD,Owner,rev1_ai_judge,
ECLERX,INE738I01010,ECLERX SERVICES LTD,Owner,rev1_ai_judge,
EDELWEISS,INE532F01054,EDELWEISS FINANCIAL SERVICES,Owner,rev1_ai_judge,
EICHERMOT,INE066A01021,EICHER MOTORS LTD,Owner,rev1_ai_judge,
EIDPARRY,INE126A01031,EID PARRY INDIA LTD,Owner,rev1_ai_judge,
EIEL,INE0LLY01014,Enviro Infra Engineers Limited,Owner,machine_inferred,
EIHOTEL,INE230A01023,EIH LTD,Owner,rev1_ai_judge,
ELECON,INE205B01031,ELECON ENGINEERING CO LTD,Owner,rev1_ai_judge,
ELECTCAST,INE086A01029,ELECTROSTEEL CASTINGS LTD,Owner,rev1_ai_judge,
ELGIEQUIP,INE285A01027,ELGI EQUIPMENTS LTD,Owner,rev1_ai_judge,
ELLEN,INE236E01022,Ellenbarrie Industrial Gases Limited,Owner,machine_inferred,
EMAMILTD,INE548C01032,EMAMI LTD,Owner,rev1_ai_judge,
EMBDL,INE069I01010,EMBASSY DEVELOPMENTS LTD,Owner,rev1_ai_judge,
EMCURE,INE168P01015,Emcure Pharmaceuticals Limited,Owner,machine_inferred,
EMMVEE,INE1C6T01020,Emmvee Photovoltaic Power Limited,Owner,machine_inferred,
ENDURANCE,INE913H01037,ENDURANCE TECHNOLOGIES LTD,Owner,rev1_ai_judge,
ENTERO,INE010601016,Entero Healthcare Solutions Limited,Owner,machine_inferred,
ERIS,INE406M01024,ERIS LIFESCIENCES LTD,Owner,rev1_ai_judge,
ETHOSLTD,INE04TZ01018,Ethos Limited,Owner,machine_inferred,
EXIDEIND,INE302A01020,EXIDE INDUSTRIES LTD,Owner,rev1_ai_judge,
FINCABLES,INE235A01022,FINOLEX CABLES LTD,Owner,rev1_ai_judge,
FINEORG,INE686Y01026,FINE ORGANIC INDUSTRIES LTD,Owner,rev1_ai_judge,
FINPIPE,INE183A01024,FINOLEX INDUSTRIES LTD,Owner,rev1_ai_judge,
FIVESTAR,INE128S01021,FIVE-STAR BUSINESS FINANCE L,Owner,rev1_ai_judge,
FLFL,INE452O01016,FUTURE LIFESTYLE FASHIONS LT,Owner,rev1_ai_judge,
FLUOROCHEM,INE09N301011,GUJARAT FLUOROCHEMICALS LTD,Owner,rev1_ai_judge,
FORCEMOT,INE451A01017,FORCE MOTORS LTD,Owner,rev1_ai_judge,
FUSION,INE139R01012,FUSION FINANCE LTD,Owner,rev1_ai_judge,
GABRIEL,INE524A01029,GABRIEL INDIA LTD,Owner,rev1_ai_judge,
GAEL,INE036B01030,GUJARAT AMBUJA EXPORTS LTD,Owner,rev1_ai_judge,
GALAXYSURF,INE600K01018,GALAXY SURFACTANTS LTD,Owner,rev1_ai_judge,
GENUSPOWER,INE955D01029,GENUS POWER INFRASTRUCTURES,Owner,rev1_ai_judge,
GESHIP,INE017A01032,GREAT EASTERN SHIPPING CO,Owner,rev1_ai_judge,
GHCL,INE539A01019,GHCL LTD,Owner,rev1_ai_judge,
GLENMARK,INE935A01035,GLENMARK PHARMACEUTICALS LTD,Owner,rev1_ai_judge,
GLOBUSSPR,INE615I01010,GLOBUS SPIRITS LTD,Owner,rev1_ai_judge,
